epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4461,1.45505,2.35105,1.17691,0.00483,1,0.46319,0.23916,1.1819,3.05818,1.03412,0.000465748,0.000465748,0.000465748
2,23.3296,1.35306,1.28154,1.12861,0.88621,0.70608,0.87,0.49638,1.43353,1.94164,1.18459,0.000940216,0.000940216,0.000940216
3,34.1205,1.31368,1.16105,1.13333,0.90557,0.95116,0.9589,0.59432,1.3219,1.03215,1.15117,0.0014128,0.0014128,0.0014128
4,44.8356,1.32498,1.08884,1.14931,0.90296,0.87884,0.92944,0.58943,1.31772,0.86748,1.14049,0.00142051,0.00142051,0.00142051
5,55.6911,1.28329,0.99014,1.12063,0.84816,0.92378,0.89692,0.57032,1.26215,0.81762,1.12274,0.00141768,0.00141768,0.00141768
6,66.3249,1.29085,0.91595,1.14193,0.88721,0.90556,0.94824,0.60522,1.27415,0.73441,1.10672,0.00141485,0.00141485,0.00141485
7,76.9469,1.26564,0.83125,1.12548,0.94123,0.88267,0.90845,0.53269,1.45266,0.76788,1.22001,0.00141202,0.00141202,0.00141202
8,87.5682,1.28932,0.81514,1.13892,0.91389,0.93688,0.97117,0.63468,1.2509,0.66937,1.10325,0.00140919,0.00140919,0.00140919
9,98.1931,1.25625,0.77182,1.12944,0.93577,0.92393,0.95768,0.63464,1.21193,0.661,1.09418,0.00140636,0.00140636,0.00140636
10,108.776,1.24589,0.7379,1.12178,0.9,0.96793,0.96414,0.64552,1.20873,0.62924,1.08807,0.00140354,0.00140354,0.00140354
11,119.549,1.25037,0.71252,1.12855,0.91513,0.92225,0.95996,0.64637,1.20498,0.62037,1.09348,0.00140071,0.00140071,0.00140071
12,130.277,1.24121,0.69915,1.12903,0.87083,0.9636,0.93208,0.62404,1.2313,0.60836,1.10012,0.00139788,0.00139788,0.00139788
13,140.967,1.23957,0.682,1.11551,0.96029,0.95957,0.98253,0.65728,1.20364,0.55263,1.0879,0.00139505,0.00139505,0.00139505
14,151.769,1.23747,0.66817,1.11006,0.94714,0.95157,0.97724,0.66849,1.16843,0.55999,1.06456,0.00139222,0.00139222,0.00139222
15,162.44,1.22307,0.65677,1.12126,0.92126,0.9469,0.9712,0.66552,1.17292,0.55046,1.06963,0.00138939,0.00138939,0.00138939
16,173.194,1.23272,0.6255,1.12121,0.93661,0.97609,0.97568,0.63088,1.28593,0.59094,1.13216,0.00138656,0.00138656,0.00138656
17,184.015,1.21436,0.63348,1.11126,0.94071,0.95224,0.97943,0.64634,1.21898,0.56122,1.09723,0.00138373,0.00138373,0.00138373
18,194.714,1.2268,0.62206,1.1189,0.94165,0.91614,0.96343,0.64999,1.2173,0.57758,1.09104,0.0013809,0.0013809,0.0013809
19,205.409,1.1874,0.61367,1.10879,0.93155,0.94689,0.96976,0.65859,1.21421,0.54307,1.09585,0.00137807,0.00137807,0.00137807
20,216.195,1.20832,0.62673,1.11266,0.94977,0.96598,0.98349,0.6705,1.18663,0.53086,1.08453,0.00137524,0.00137524,0.00137524
21,226.987,1.20173,0.61031,1.11562,0.95218,0.95702,0.98231,0.66311,1.25151,0.51206,1.10373,0.00137241,0.00137241,0.00137241
22,237.759,1.19415,0.5858,1.10935,0.95079,0.94703,0.97952,0.66457,1.19864,0.5213,1.08762,0.00136958,0.00136958,0.00136958
23,248.796,1.16735,0.59152,1.09924,0.92101,0.95924,0.97017,0.66201,1.16374,0.52793,1.07446,0.00136675,0.00136675,0.00136675
24,259.724,1.17608,0.58505,1.09479,0.93739,0.96419,0.97144,0.6631,1.17041,0.52369,1.07638,0.00136392,0.00136392,0.00136392
25,270.556,1.16093,0.56895,1.0948,0.90294,0.9365,0.93863,0.65194,1.15434,0.55767,1.07148,0.00136109,0.00136109,0.00136109
26,281.325,1.15676,0.57292,1.10207,0.95541,0.9457,0.97205,0.67642,1.1593,0.52343,1.07287,0.00135826,0.00135826,0.00135826
27,292.04,1.18555,0.57565,1.10812,0.92576,0.95461,0.9749,0.65838,1.19674,0.51814,1.08569,0.00135544,0.00135544,0.00135544
28,302.772,1.18983,0.57739,1.10917,0.96069,0.95901,0.97812,0.66435,1.19072,0.48769,1.08917,0.00135261,0.00135261,0.00135261
